name,artist,album,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
Autumn Leaves,Cannonball Adderley,Ballads And Blues,23,0.524,0.0878,7,-18.32,0,0.0381,0.791,0.00035,0.0977,0.256,110.723,658800,4,jazz
Au Privave,Charlie Parker,Jazz Legend,0,0.586,0.597,5,-9.108,1,0.0489,0.77,0.00203,0.0686,0.823,108.729,165160,4,jazz
Blue Train,John Coltrane,Trane's Blues,22,0.515,0.387,8,-10.297,1,0.0426,0.829,0.0774,0.195,0.589,133.527,643400,4,jazz
Django's Tiger,Django Reinhardt,The Best Of Django Reinhardt,34,0.741,0.572,9,-9.415,1,0.0456,0.957,0.707,0.107,0.96,112.832,158013,4,jazz
Moanin',Charles Mingus,The Very Best Of Charles Mingus,15,0.488,0.476,5,-10.316,0,0.0497,0.438,0.000279,0.11,0.583,110.951,482960,4,jazz
Watermelon Man,Herbie Hancock,Triple Best Of,24,0.606,0.555,0,-9.219,0,0.0283,0.893,0.663,0.0783,0.599,129.419,428440,4,jazz
Farewell Blues,Django Reinhardt,"The Best of Django Reinhardt, Vol. 1",0,0.704,0.237,10,-12.383,1,0.0402,0.985,0.871,0.113,0.906,92.868,196506,4,jazz
Haitian Fight Song,Charles Mingus,The Clown,33,0.504,0.224,7,-15.824,0,0.0393,0.815,0.0872,0.0922,0.302,75.499,721600,4,jazz
My One And Only Love - Remastered 1999/Rudy Van Gelder Edition,Horace Silver,The Stylings Of Silver (The Rudy Van Gelder Edition),17,0.591,0.187,0,-15.975,1,0.0442,0.93,0.73,0.164,0.227,120.463,419973,4,jazz
It's Only A Paper Moon,Ella Fitzgerald,Ella Fitzgerald,0,0.723,0.266,10,-9.653,1,0.0316,0.915,0.0,0.108,0.568,114.201,161933,4,jazz
All of Me,Billie Holiday,Billie Holiday Love Songs,41,0.507,0.0677,2,-13.766,0,0.0406,0.978,2.74e-05,0.132,0.355,105.393,181827,5,jazz
Minor Swing,Django Reinhardt,Trésors Django Reinhardt,25,0.706,0.526,9,-8.683,1,0.0876,0.933,0.937,0.205,0.741,112.376,157080,4,jazz
Ain't Misbehavin',Benny Goodman,Jazz For A Sunday Morning,0,0.626,0.252,5,-11.571,0,0.036,0.858,0.412,0.149,0.52,102.415,317187,4,jazz
Smoke Gets in Your Eyes,Art Tatum,130 Most Beautiful Jazz Standards Ever (Instrumental Version for Jazz Lovers),0,0.339,0.0977,4,-24.358,1,0.0368,0.99,0.936,0.102,0.22,85.877,238028,4,jazz
Time After Time - Remastered 2004,Chet Baker,Triple Best Of,11,0.513,0.0459,0,-19.065,1,0.0369,0.929,3.8e-05,0.202,0.241,99.816,167933,4,jazz
Blue Velvet,Tony Bennett,Duets II,33,0.108,0.283,11,-13.472,0,0.0318,0.886,0.000444,0.0779,0.0812,66.134,272573,4,jazz
Honeysuckle Rose,Django Reinhardt,"The Best of Django Reinhardt, Vol. 2",0,0.888,0.252,0,-15.017,1,0.153,0.761,0.191,0.0665,0.76,97.524,179813,4,jazz
Tiger Rag,Art Tatum,The Genius Of Art Tatum,0,0.455,0.412,8,-15.918,1,0.0355,0.984,0.94,0.205,0.92,96.97,132787,4,jazz
I've Got You Under My Skin,Frank Sinatra,Sinatra: Best Of The Best,0,0.581,0.422,1,-5.891,1,0.0366,0.584,0.0,0.0922,0.569,127.252,222173,4,jazz
Straight No Chaser,Thelonious Monk,The Best Of Thelonious Monk,14,0.473,0.525,5,-12.86,0,0.0763,0.832,7.71e-05,0.337,0.772,166.522,177840,3,jazz
Limbo Jazz,Duke Ellington,Meets Coleman Hawkins / And John Coltrane,0,0.721,0.468,8,-11.065,1,0.143,0.696,0.00587,0.1,0.869,81.262,314493,4,jazz
Fly Me To The Moon - Remastered 2008,Frank Sinatra,Nothing But The Best (Remastered),0,0.64,0.296,4,-12.266,0,0.0585,0.505,4.66e-06,0.083,0.387,119.647,147520,4,jazz
I'll See You in My Dreams,Django Reinhardt,The Best Of Django Reinhardt,21,0.765,0.522,5,-12.037,1,0.0339,0.931,0.913,0.102,0.84,112.747,153333,4,jazz
Night And Day,Art Tatum,"Masters Of Jazz, Vol. 3",2,0.448,0.408,2,-10.343,1,0.0363,0.992,0.877,0.143,0.807,138.85,90093,3,jazz
Boogie Stop Shuffle,Charles Mingus,Mingus Ah Um,35,0.574,0.541,10,-12.369,0,0.0566,0.387,0.00183,0.301,0.679,129.335,298960,4,jazz
Dancing In The Dark,Cannonball Adderley,Somethin' Else (Rudy Van Gelder Edition),42,0.377,0.251,5,-7.503,1,0.036,0.904,0.131,0.0586,0.383,185.445,247200,3,jazz
Louise,Django Reinhardt,Best Of - Heritage Jazz,0,0.756,0.15,5,-12.223,1,0.0721,0.953,0.877,0.0929,0.308,124.197,159093,4,jazz
The Way You Look Tonight,Tony Bennett,"Rarities, Outtakes & Other Delights, Vol. 2",58,0.421,0.0533,0,-22.052,1,0.0405,0.946,0.000437,0.131,0.111,111.996,203307,4,jazz
Summertime,Billie Holiday,The Complete Billie Holiday,0,0.635,0.14,10,-15.856,0,0.0422,0.995,0.23,0.0976,0.567,97.692,180587,4,jazz
The Way You Look Tonight,Billie Holiday,Billie Holiday Love Songs,30,0.707,0.218,3,-12.517,0,0.0464,0.977,0.132,0.184,0.773,160.571,182927,4,jazz
St. Louis Blues,Django Reinhardt,The Best Of Django Reinhardt,27,0.73,0.284,7,-10.898,1,0.0613,0.981,0.898,0.0966,0.644,114.847,162733,4,jazz
(I Left My Heart) In San Francisco,Tony Bennett,I Left My Heart In San Francisco,56,0.313,0.078,0,-17.583,1,0.0332,0.955,4.48e-06,0.169,0.125,128.065,170960,4,jazz
Blue Skies,Art Tatum,Blue Berlin,24,0.468,0.0971,1,-18.715,1,0.0519,0.993,0.899,0.124,0.635,176.151,173827,4,jazz
God Bless The Child,Billie Holiday,The Complete Billie Holiday,0,0.403,0.0787,7,-13.148,0,0.0493,0.991,0.000498,0.13,0.328,77.625,178813,1,jazz
Tea for Two - 1999 - Remaster,Gene Krupa,The Capitol Vaults Jazz Series,3,0.507,0.187,0,-9.583,1,0.0332,0.983,0.0,0.457,0.593,144.135,138693,4,jazz
There Will Never Be Another You - Remastered 2004,Chet Baker,Triple Best Of,6,0.514,0.0992,3,-16.946,1,0.0528,0.949,0.00182,0.0725,0.601,169.709,181613,3,jazz
Good Morning Heartache,Billie Holiday,Billie Holiday: Verve Ultimate Cool,4,0.481,0.134,1,-14.581,1,0.0435,0.956,0.0,0.134,0.125,63.515,209067,4,jazz
Blue Moon - 1998 Digital Remaster,Frank Sinatra,Sinatra's Swingin' Session!!! And More (Remastered),53,0.644,0.156,1,-16.529,1,0.0329,0.532,0.0,0.105,0.744,113.96,171427,4,jazz
The Lady is a Tramp,Tony Bennett,Duets II,45,0.573,0.602,5,-5.643,1,0.0357,0.385,0.0,0.0912,0.684,90.692,198240,4,jazz
My Man,Billie Holiday,The Complete Billie Holiday,0,0.781,0.214,3,-12.036,1,0.0762,0.993,0.738,0.0929,0.642,100.192,185147,4,jazz
Blue Moon,Tony Bennett,As Time Goes By: Great American Songbook Classics,0,0.506,0.134,5,-15.93,0,0.0528,0.911,0.014,0.136,0.38,90.75,133787,4,jazz
Sophisticated Lady,Billie Holiday,Billie Holiday: Verve Ultimate Cool,3,0.443,0.115,11,-15.746,1,0.0827,0.95,0.0,0.119,0.172,166.844,289533,3,jazz
Are You Real - Remastered,Art Blakey,Moanin' (Expanded Edition),32,0.523,0.667,8,-7.283,1,0.0682,0.608,0.0227,0.332,0.665,108.162,287440,4,jazz
Lush Life - Remastered 2004,Chet Baker,Triple Best Of,5,0.581,0.102,3,-16.793,0,0.0432,0.977,0.622,0.136,0.0733,108.286,296453,4,jazz
The Man I Love,Billie Holiday,Billie Holiday Love Songs,17,0.462,0.181,7,-14.176,1,0.0457,0.978,0.00114,0.279,0.283,121.563,184320,3,jazz
Drummin'man,Gene Krupa,Gene Krupa - 20th Century Drum Master,0,0.655,0.711,3,-11.767,1,0.0958,0.754,0.574,0.345,0.615,112.559,180627,4,jazz
Midnight Mood,Michael Brecker,Nearness Of You: The Ballad Book,0,0.415,0.0611,5,-16.875,1,0.0391,0.957,0.179,0.154,0.115,93.465,383627,3,jazz
"Flamenco Sketches (feat. John Coltrane, Cannonball Adderley & Bill Evans)",Miles Davis,Kind Of Blue (Legacy Edition),48,0.348,0.0219,2,-21.065,0,0.0427,0.899,0.112,0.0906,0.225,178.698,566133,3,jazz
Feeling Good,Nina Simone,I Put A Spell On You,0,0.399,0.326,7,-9.239,0,0.0386,0.864,0.0,0.191,0.546,79.206,174000,4,jazz
I've Got a Woman,Ray Charles,"Ray Charles (aka: Hallelujah, I Love Her So)",64,0.556,0.61,9,-4.729,1,0.213,0.833,2.22e-06,0.258,0.665,199.373,171467,4,jazz
Lullaby Of Birdland - Live,Sarah Vaughan,Lullaby Of Birdland,0,0.564,0.42,11,-8.59,0,0.0645,0.947,0.0,0.263,0.513,122.41,242573,4,jazz
Nature Boy,John Coltrane Quartet,American Jazz Essentials,0,0.362,0.386,4,-13.846,0,0.0524,0.893,0.894,0.162,0.457,80.21,426667,3,jazz
Chelsea bridge,Gerry Mulligan,Gerry Mulligan Meets Ben Webster,0,0.516,0.0139,1,-24.132,1,0.0437,0.958,0.575,0.164,0.117,112.106,443011,4,jazz
For Minors Only,Chet Baker,Picture Of Heath,19,0.688,0.375,8,-9.303,1,0.0596,0.312,8.87e-05,0.183,0.73,110.093,242160,4,jazz
Stormy Weather,Duke Ellington,American Jazz Essentials,0,0.418,0.251,7,-9.028,1,0.0274,0.856,0.718,0.146,0.207,77.208,192160,4,jazz
Let’s Cool One,Thelonious Monk,Soulville,0,0.603,0.244,8,-20.615,1,0.0377,0.765,0.859,0.119,0.269,133.638,296827,3,jazz
Round About Midnight,Thelonious Monk,Piano Solos,0,0.561,0.0666,11,-25.058,1,0.0711,0.995,0.946,0.152,0.268,66.287,321227,4,jazz
The Route,Chet Baker,Triple Best Of,5,0.529,0.307,0,-13.608,1,0.0383,0.662,0.0121,0.105,0.484,142.111,306413,4,jazz
You'd Be So Nice To Come Home To,Art Pepper,Art Pepper Meets The Rhythm Section (Remastered),0,0.504,0.186,5,-23.05,1,0.107,0.273,9.27e-06,0.0584,0.597,176.704,324000,4,jazz
Straight Life,Art Pepper,The Capitol Vaults Jazz Series,2,0.583,0.526,3,-7.017,1,0.095,0.679,0.00183,0.0798,0.587,170.924,202267,3,jazz
Stardust,Gerry Mulligan,Portrait,0,0.54,0.0671,1,-18.633,1,0.0397,0.966,0.779,0.101,0.316,84.192,286133,4,jazz
Body And Soul,Coleman Hawkins,Vintage Jazz,0,0.638,0.0488,10,-19.672,0,0.0852,0.995,0.898,0.115,0.739,95.334,183187,3,jazz
My One And Only Love - Remastered 1999/Rudy Van Gelder Edition,Horace Silver,The Stylings Of Silver (The Rudy Van Gelder Edition),17,0.591,0.187,0,-15.975,1,0.0442,0.93,0.73,0.164,0.227,120.463,419973,4,jazz
Easy Livin,Clifford Brown,The Best Of Clifford Brown,26,0.505,0.0865,8,-12.517,1,0.0388,0.978,0.835,0.0794,0.33,125.936,224693,4,jazz
You'd Be So Nice To Come Home To,Helen Merrill,Nuevas Divas del Jazz,7,0.636,0.355,0,-9.204,1,0.0293,0.759,0.00332,0.304,0.41,130.012,257933,4,jazz
I Remember Clifford,Lee Morgan,The Best Of Lee Morgan,35,0.368,0.14,0,-15.005,0,0.045,0.901,0.874,0.0688,0.172,61.758,428973,4,jazz
Speak No Evil,Wayne Shorter,The Best Of Wayne Shorter,21,0.457,0.395,5,-15.072,0,0.0376,0.652,4.52e-06,0.31,0.479,106.404,505693,3,jazz
Melancholy Mood (Remastered),Horace Silver,Portrait,0,0.576,0.202,6,-14.275,1,0.0536,0.99,0.911,0.105,0.137,107.565,428733,4,jazz
Recado Bossa Nova,Hank Mobley,Blue Note Trip 2: Sunset/Sunrise,23,0.635,0.508,0,-12.205,0,0.0291,0.641,0.0193,0.6,0.766,102.261,488307,4,jazz
Stolen Moments,Oliver Nelson,Sunday Jazz - Verve 50,2,0.511,0.26,0,-14.276,0,0.0413,0.866,0.901,0.142,0.324,104.23,526102,4,jazz
Dedicated To You,Freddie Hubbard,The Artistry Of Freddie Hubbard / The Body And The Soul,0,0.38,0.164,7,-14.69,0,0.0452,0.985,0.955,0.125,0.0871,79.03,202640,4,jazz
Red Clay,Freddie Hubbard,Jazz Moods - Hot,14,0.516,0.413,9,-12.31,1,0.035,0.341,0.253,0.103,0.588,139.524,729560,4,jazz
Footprints,Wayne Shorter,The Best Of Wayne Shorter,29,0.515,0.339,7,-16.457,0,0.0283,0.823,0.317,0.109,0.519,135.694,451733,3,jazz
Infant Eyes,Wayne Shorter,The Best Of Wayne Shorter,20,0.247,0.0119,3,-21.038,1,0.0483,0.988,0.704,0.098,0.132,77.255,414840,4,jazz
Virgo - Remastered 2004,Wayne Shorter,Night Dreamer,42,0.446,0.13,2,-14.403,0,0.0386,0.971,0.445,0.108,0.172,106.607,426800,4,jazz
Dedicated To You,Freddie Hubbard,The Body & The Soul,0,0.404,0.153,10,-15.371,1,0.0408,0.985,0.92,0.138,0.102,105.471,204800,4,jazz
Polka Dots And Moonbeams - 1994 Remaster,Bud Powell,The Amazing Bud Powell,42,0.558,0.0891,2,-17.633,0,0.0643,0.946,0.924,0.0966,0.13,100.523,243773,4,jazz
A Night In Tunisia - Rudy Van Gelder Edition / Remastered 1998,Bud Powell,The Amazing Bud Powell: Vol. 1 (The Rudy Van Gelder Edition),31,0.538,0.52,7,-10.127,0,0.0408,0.715,0.0175,0.0676,0.764,83.816,256800,4,jazz
Song For My Father,Horace Silver,The Best Of Horace Silver,34,0.74,0.454,5,-14.339,0,0.0383,0.515,0.00117,0.1,0.699,127.103,437960,4,jazz
The Masquerade Is Over,Nancy Wilson,Nancy Wilson/Cannonball Adderley,49,0.341,0.0446,10,-18.109,1,0.0348,0.909,0.00785,0.157,0.128,174.365,258107,3,jazz
"All Blues (feat. John Coltrane, Cannonball Adderley & Bill Evans)",Miles Davis,Kind Of Blue (Legacy Edition),49,0.499,0.149,0,-18.305,1,0.0314,0.771,0.00469,0.115,0.363,139.815,692747,3,jazz
It Never Entered My Mind,Miles Davis Quintet,Workin' (RVG Remaster),0,0.458,0.227,8,-10.74,1,0.0308,0.892,4.63e-05,0.0941,0.132,115.516,323187,4,jazz
It Could Happen To You,Miles Davis Quintet,Relaxin' With The Miles Davis Quintet (Rudy van Gelder Remaster),0,0.599,0.402,5,-11.04,0,0.0455,0.453,9.34e-06,0.452,0.619,93.311,396960,4,jazz
I Could Write A Book,Miles Davis Quintet,Relaxin' With The Miles Davis Quintet (Rudy van Gelder Remaster),0,0.612,0.606,0,-6.272,0,0.0397,0.762,0.00583,0.217,0.799,114.493,308467,4,jazz
Miles Ahead,Miles Davis Quartet,Blue Haze,0,0.556,0.276,10,-15.505,1,0.142,0.892,0.0412,0.402,0.673,150.764,268707,4,jazz
Walkin',Miles Davis Sextet,Walkin',17,0.54,0.292,5,-11.531,1,0.0394,0.583,0.00715,0.189,0.533,126.885,805933,4,jazz
It's Easy To Remember,John Coltrane Quartet,Ballads,0,0.489,0.118,5,-13.35,0,0.032,0.86,0.00772,0.103,0.207,65.238,168373,4,jazz
Naima,John Coltrane,Giant Steps (Deluxe Edition),0,0.303,0.0141,10,-19.759,0,0.0418,0.948,0.0944,0.0792,0.157,171.439,258266,3,jazz
II B.S. - Edit,Charles Mingus,Mingus Mingus Mingus Mingus Mingus,0,0.472,0.535,0,-10.471,1,0.0521,0.594,0.114,0.0895,0.723,106.57,290040,4,jazz
Lonely Woman,Ornette Coleman,The Shape Of Jazz To Come,33,0.474,0.376,9,-10.482,0,0.0283,0.315,0.000748,0.147,0.253,81.001,302200,4,jazz
Reefer Man,Cab Calloway,Best Of The Big Bands,32,0.791,0.481,5,-12.762,0,0.305,0.95,0.000174,0.051,0.554,124.056,177067,4,jazz
Begin the Beguine,Artie Shaw,Begin The Beguine,49,0.629,0.155,7,-15.917,1,0.0514,0.912,0.382,0.454,0.368,140.933,196160,4,jazz
Yardbird Suite,Gene Krupa,Plays Gerry Mulligan Arrangements,0,0.422,0.244,7,-17.356,0,0.0426,0.798,0.204,0.0828,0.703,169.53,337187,3,jazz
Birdland,Buddy Rich,The Greatest Drummer That Ever Lived,35,0.481,0.678,7,-9.609,1,0.0323,0.16,0.00324,0.191,0.579,89.224,401966,4,jazz
Night in Tunisia,Dizzy Gillespie,The Essential Dizzy Gillespie (Remastered),18,0.651,0.292,10,-12.705,1,0.0474,0.909,0.15,0.0942,0.757,89.398,188080,4,jazz
Tin Tin Deo,Dizzy Gillespie,Odyssey 1945-1952,7,0.721,0.536,5,-11.377,0,0.0306,0.49,0.000219,0.108,0.97,137.541,159133,4,jazz
Giant Steps,John Coltrane,Giant Steps (Deluxe Edition),0,0.431,0.491,0,-10.746,0,0.0562,0.441,0.000458,0.134,0.577,148.243,283440,4,jazz
A Kiss To Build A Dream On,Louis Armstrong,The Best Of The Decca Years Volume One: The Singer,0,0.703,0.0907,0,-13.388,1,0.0695,0.863,0.0,0.321,0.412,88.032,182240,4,jazz
Alone And I - Remastered 2007,Herbie Hancock,Takin' Off (Expanded Edition),39,0.409,0.0681,6,-17.935,0,0.0334,0.98,0.948,0.0971,0.0577,101.784,389773,4,jazz
Con Alma,Dizzy Gillespie,Afro,0,0.715,0.325,8,-13.33,1,0.0324,0.833,0.909,0.157,0.71,113.917,305067,4,jazz
Ornithology,Charlie Parker,Bird - Original Motion Picture Soundtrack,31,0.475,0.689,9,-9.351,0,0.054,0.532,0.00427,0.969,0.823,117.407,282200,4,jazz
Aisha,John Coltrane,Olé Coltrane (Deluxe Edition),32,0.393,0.183,4,-15.203,0,0.035,0.823,0.117,0.106,0.139,168.035,465200,3,jazz
Blue Monk,Thelonious Monk,Thelonious Alone in San Francisco [Original Jazz Classics Remasters],0,0.618,0.178,0,-17.268,0,0.0499,0.99,0.898,0.109,0.318,129.782,227920,4,jazz
Scrapple From The Apple,Charlie Parker,Jazz Masters,38,0.417,0.397,5,-11.683,1,0.0558,0.982,0.804,0.185,0.737,201.162,161427,4,jazz
Locomotive,Thelonious Monk,"Straight, No Chaser",31,0.671,0.439,8,-11.181,1,0.0408,0.784,0.145,0.13,0.7,112.208,400427,4,jazz
Whatever lola wants,Sarah Vaughan,"Sarah Vaughan, Sassy The Divine One",0,0.633,0.235,5,-8.995,1,0.0435,0.936,1.31e-06,0.0804,0.326,119.573,159839,4,jazz
My Romance,Ella Fitzgerald,Ella Fitzgerald Sings The Rodgers And Hart Song Book,45,0.184,0.292,7,-12.246,1,0.0312,0.878,0.000258,0.346,0.143,75.63,224227,4,jazz
I Loves You Porgy - 2013 Remastered Version,Nina Simone,Little Girl Blue (2013 Remastered Version),47,0.477,0.0494,4,-21.157,1,0.0652,0.956,2.21e-06,0.109,0.195,62.434,249782,4,jazz
Mood Indigo,Duke Ellington,In a Sentimental Mood,38,0.336,0.136,10,-12.604,1,0.0408,0.993,0.832,0.288,0.0458,76.831,159773,3,jazz
Let’s Fall In Love,Kristin Chenoweth,The Art Of Elegance,40,0.539,0.389,1,-9.146,1,0.0361,0.778,3.28e-05,0.149,0.431,118.034,189360,4,jazz
Landmarks,Brian Blade & The Fellowship Band,Landmarks,29,0.381,0.129,8,-22.215,1,0.0307,0.928,0.838,0.124,0.14,105.33,500507,3,jazz
I Fall In Love Too Easily,Chet Baker,Chet Baker Sings,61,0.532,0.0657,0,-19.136,0,0.0406,0.94,0.00488,0.0946,0.292,128.607,201440,4,jazz
I'm Old Fashioned - Remastered 2003/Rudy Van Gelder Edition,John Coltrane,Blue Train (Expanded Edition),43,0.394,0.23,3,-10.475,1,0.0348,0.931,0.497,0.0662,0.358,78.319,477760,4,jazz
Broad Way Blues,Ornette Coleman,New York Is Now,29,0.508,0.253,3,-17.518,1,0.0487,0.471,0.246,0.121,0.579,95.527,523760,4,jazz
Ay Vamos,J Balvin,La Familia B Sides,67,0.718,0.711,8,-5.746,0,0.11,0.157,5.54e-05,0.1,0.92,173.916,226413,4,reggae
Se Preparó,Ozuna,Odisea,74,0.739,0.821,1,-4.233,1,0.0852,0.222,9.6e-06,0.311,0.693,171.077,188080,4,reggae
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",96,0.778,0.632,2,-5.6,0,0.0493,0.274,0.0,0.0915,0.498,122.104,218289,4,reggae
Fuego,Yaga & Mackie,La Moda,49,0.889,0.64,6,-6.483,1,0.275,0.119,0.0623,0.0827,0.968,94.93,223013,4,reggae
Gata Gangster,Daddy Yankee,Los Homerun-es,49,0.859,0.832,2,-8.112,1,0.179,0.00453,0.000591,0.0916,0.631,97.028,219107,4,reggae
La Calle Me Lo Pidio,Yandel,Quien Contra Mi,49,0.768,0.753,0,-5.905,1,0.12,0.145,0.00368,0.0907,0.729,94.977,185973,4,reggae
Chulin Culin Chunfly,Voltio,Voltio,55,0.794,0.822,2,-6.448,1,0.071,0.174,0.000954,0.0986,0.62,91.995,275360,4,reggae
Yo No Soy Celoso,Bad Bunny,Un Verano Sin Ti,76,0.872,0.588,0,-6.276,1,0.0492,0.275,0.0,0.17,0.93,142.004,230704,4,reggae
Pa' Guayarte,J Balvin,JOSE,45,0.792,0.669,2,-6.069,0,0.143,0.0577,3.64e-05,0.103,0.523,176.023,197027,4,reggae
Eh Oh Eh Oh,Jowell & Randy,Casa De Leones,45,0.805,0.799,2,-7.394,1,0.0727,0.0705,0.00247,0.341,0.804,94.987,214360,4,reggae
Llamé Pa' Verte (Bailando Sexy),Wisin & Yandel,Pa'l Mundo,59,0.842,0.823,7,-5.137,0,0.079,0.072,1.23e-06,0.0865,0.635,95.017,194733,4,reggae
Noche de Travesura,"Héctor ""El Father""",Goldstar Music La Familia Reggaeton Hits,67,0.826,0.532,9,-11.731,1,0.238,0.292,0.0,0.075,0.45,92.003,207786,4,reggae
Abayarde,Tego Calderón,El Abayarde,50,0.57,0.744,5,-4.008,1,0.359,0.133,0.0134,0.397,0.638,87.444,202760,4,reggae
Tu Príncipe,Daddy Yankee,Barrio Fino (Bonus Track Version),75,0.77,0.804,4,-5.479,1,0.0623,0.16,1e-05,0.193,0.568,94.017,205520,4,reggae
Hoy Se Chicha,Jowell & Randy,Viva el Perreo,56,0.883,0.721,9,-7.494,1,0.374,0.17,0.000602,0.252,0.371,94.977,154399,4,reggae
Cuando Te Toca,Yandel,Resistencia,67,0.848,0.742,4,-3.335,0,0.143,0.0832,1.47e-05,0.138,0.47,96.038,176293,4,reggae
Mírala Bien,Wisin & Yandel,Pa'l Mundo,64,0.815,0.856,1,-4.399,0,0.13,0.255,0.0,0.0697,0.713,96.014,156560,4,reggae
Profecía,Ñengo Flow,Profecía,63,0.795,0.868,1,-3.106,0,0.112,0.184,1.07e-05,0.0519,0.751,179.966,205700,4,reggae
Dale Caliente,Daddy Yankee,Barrio Fino (Bonus Track Version),52,0.831,0.746,3,-6.76,0,0.153,0.0675,0.0,0.0727,0.699,95.994,195800,4,reggae
Matador - Official Remix,Nova y Jory,Matador (Official Remix),49,0.674,0.632,11,-9.038,0,0.158,0.0205,0.0,0.15,0.73,177.987,272823,4,reggae
Los Mate,Tego Calderón,The Underdog - El Subestimado,45,0.886,0.553,5,-8.25,0,0.303,0.407,0.000122,0.385,0.656,95.033,173680,4,reggae
Ponte Pa' Mi,Justin Quiles,La Última Promesa,53,0.878,0.713,5,-4.566,0,0.0967,0.0601,0.0,0.0837,0.617,92.026,202373,4,reggae
Mala Conducta (feat. Franco El Gorila),Alexis y Fido,Perreología,60,0.711,0.841,6,-4.775,0,0.0917,0.231,9.85e-05,0.191,0.964,176.027,257880,4,reggae
MÁS DE UNA VEZ,Rauw Alejandro,SATURNO,60,0.73,0.732,9,-4.986,0,0.0322,0.128,3.58e-06,0.173,0.328,119.958,245163,4,reggae
Los Rompediskoteca,Jhayco,Timelezz,47,0.743,0.841,2,-3.229,1,0.0668,0.0299,0.0,0.1,0.629,90.997,182960,4,reggae
Donde Hubo Fuego,Daddy Yankee,12 Discipulos,54,0.7,0.766,10,-5.428,0,0.0784,0.186,0.0,0.218,0.868,93.358,205977,4,reggae
Cuando Baila Reggaeton,Tego Calderón,The Underdog - El Subestimado,53,0.848,0.801,10,-6.821,1,0.102,0.562,1.11e-05,0.0624,0.908,95.027,184480,4,reggae
Soy una Gargola,Alex Gargolas,Gargolas 5: The Next Generation,62,0.741,0.835,4,-6.108,0,0.0854,0.0843,0.000133,0.11,0.641,93.988,184738,4,reggae
Lady Mi Amor,Feid,FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,71,0.782,0.618,2,-5.288,1,0.055,0.0632,7.44e-05,0.15,0.752,93.016,147067,4,reggae
"Sol, Playa Y Arena","Tito ""El Bambino""",It's My Time,57,0.822,0.656,5,-6.159,0,0.11,0.254,0.0,0.329,0.734,94.039,188320,4,reggae
PECADO,Mora,MICRODOSIS,60,0.656,0.542,1,-6.616,0,0.244,0.683,0.00117,0.119,0.631,172.005,171977,4,reggae
Tocarte,Jhayco,Famouz,48,0.863,0.698,4,-5.031,0,0.125,0.125,0.000714,0.0551,0.705,92.04,242413,4,reggae
Se Vuelve Loca,Wisin & Yandel,La Última Misión,42,0.783,0.775,8,-4.852,0,0.227,0.197,0.0703,0.195,0.703,176.973,176241,4,reggae
50 Citas,Jay Wheeler,Emociones,44,0.794,0.449,9,-9.655,0,0.0535,0.589,0.0,0.0818,0.363,97.976,147000,4,reggae
Felina,Hector & Tito,A La Reconquista,60,0.849,0.922,6,-6.604,0,0.0684,0.0275,0.00862,0.0809,0.71,93.001,216440,4,reggae
Machucando,Daddy Yankee,Barrio Fino En Directo,54,0.84,0.843,8,-4.129,1,0.0632,0.241,9.97e-06,0.232,0.774,93.973,178787,4,reggae
Deja,J Alvarez,El Movimiento: The Mixtape,51,0.743,0.76,1,-5.48,1,0.13,0.224,0.0,0.362,0.756,81.007,276573,4,reggae
Donde Estan las Gatas,Alex Gargolas,Gargolas 3,67,0.827,0.788,7,-11.937,0,0.0831,0.246,0.0,0.0764,0.815,109.933,170005,4,reggae
SUPRA 94TRO,Alvaro Diaz,SUPRA 94TRO,57,0.809,0.795,8,-4.827,0,0.0871,0.388,6.02e-06,0.0848,0.645,95.972,176680,4,reggae
Kilimanjaro,Arcángel,Sr. Santos,62,0.498,0.515,7,-9.14,1,0.184,0.158,0.0,0.0748,0.669,170.838,188609,4,reggae
Teteo,Anuel AA,LLNM2,61,0.755,0.733,1,-4.209,1,0.046,0.522,0.000982,0.134,0.75,95.991,201562,4,reggae
Shorty,Casa De Leones,Casa De Leones,62,0.796,0.866,10,-6.087,0,0.0595,0.096,0.00025,0.0561,0.877,94.991,246080,4,reggae
F40,J Balvin,JOSE,44,0.576,0.577,6,-6.231,0,0.303,0.0616,2.03e-06,0.682,0.681,171.153,161400,4,reggae
OJOS FERRARI,KAROL G,MAÑANA SERÁ BONITO,76,0.9,0.707,1,-2.792,1,0.0934,0.161,4.25e-05,0.176,0.634,124.042,180040,4,reggae
LENTITO,Alvaro Diaz,LENTITO,57,0.584,0.803,1,-4.953,1,0.273,0.0392,4.71e-05,0.0973,0.339,108.049,203547,4,reggae
No Es Culpa Mía (Bonus Track) (Bonus Track),Daddy Yankee,Talento de Barrio,60,0.8,0.843,10,-4.379,1,0.0852,0.46,2.09e-06,0.0821,0.686,94.054,107572,4,reggae
Te Necesito,Rich Music LTD,Te Necesito,49,0.673,0.703,10,-4.572,0,0.174,0.208,1.53e-06,0.099,0.441,112.005,163667,5,reggae
